subject	glasses	component	bin	distance	offset
p1	vps	horizontal	17	1.500894618	-0.432776768
p1	vps	horizontal	18	2.202227945	-0.339148483
p1	vps	horizontal	19	3.389308321	-0.138522718
p1	vps	horizontal	20	5.447122258	0.185670242
p1	vps	vertical	1	0.168749436	3.921597298
p1	vps	vertical	2	0.173779629	2.410966808
p1	vps	vertical	3	0.179883104	2.346351728
p1	vps	vertical	4	0.193702934	2.486312548
p1	vps	vertical	5	0.19976716	2.031263163
p1	vps	vertical	6	0.21071371	2.218381298
p1	vps	vertical	7	0.233722073	2.013922788
p1	vps	vertical	8	0.264374633	1.462567178
p1	vps	vertical	9	0.282343007	0.734581378
p1	vps	vertical	10	0.30534882	2.329939773
p1	vps	vertical	11	0.344736547	1.621570748
p1	vps	vertical	12	0.403631579	0.895328968
p1	vps	vertical	13	0.485404829	0.839018303
p1	vps	vertical	14	0.614489314	0.442717563
p1	vps	vertical	15	0.803795088	-0.052814512
p1	vps	vertical	16	1.067389089	0.029458243
p1	vps	vertical	17	1.500894618	-0.280224352
p1	vps	vertical	18	2.202227945	-0.362009802
p1	vps	vertical	19	3.389308321	-0.287778892
p1	vps	vertical	20	5.447122258	-0.606578137
p2	invisible	horizontal	1	0.143272411	-17.67814574
p2	invisible	horizontal	2	0.14816243	-17.2837506
p2	invisible	horizontal	3	0.165202537	-15.80958292
p2	invisible	horizontal	4	0.170648811	-15.57389596
p2	invisible	horizontal	5	0.180444707	-14.32987715
p2	invisible	horizontal	6	0.189056328	-12.87414971
p2	invisible	horizontal	7	0.198515272	-12.19949286
p2	invisible	horizontal	8	0.207750413	-12.44816767
p2	invisible	horizontal	9	0.224179651	-11.00379039
p2	invisible	horizontal	10	0.243631708	-10.03570703
p2	invisible	horizontal	11	0.273276093	-8.702084758
p2	invisible	horizontal	12	0.311117999	-7.149612868
p2	invisible	horizontal	13	0.390934559	-4.934091118
p2	invisible	horizontal	14	0.540659306	-3.001092708
p2	invisible	horizontal	15	0.786667758	-1.140078128
p2	invisible	horizontal	16	1.072970455	-0.390694048
p2	invisible	horizontal	17	1.507218115	0.343576222
p2	invisible	horizontal	18	2.170483208	0.865557697
p2	invisible	horizontal	19	3.339315773	1.265249752
p2	invisible	horizontal	20	5.416670441	1.661288867
p2	invisible	vertical	1	0.143272411	-0.704452293
p2	invisible	vertical	2	0.14816243	-0.629668543
p2	invisible	vertical	3	0.165202537	-0.793300608
p2	invisible	vertical	4	0.170648811	-0.303641233
p2	invisible	vertical	5	0.180444707	-0.265818528
p2	invisible	vertical	6	0.189056328	-1.147530238
p2	invisible	vertical	7	0.198515272	-0.889905033
p2	invisible	vertical	8	0.207750413	-0.992690533
